route_id,trip_id,trip_headsign,direction_id
B,058900_B..S66R,Brighton Beach,1
B,059250_B..N66R,145 St,0
B,059550_B..S65R,Brighton Beach,1
B,060050_B..N65R,Bedford Park Blvd,0
B,060500_B..S66R,Brighton Beach,1
B,060850_B..N66R,145 St,0
B,061200_B..S65R,Brighton Beach,1
B,061650_B..N65R,Bedford Park Blvd,0
B,062100_B..S66R,Brighton Beach,1
B,062450_B..N66R,145 St,0
B,062800_B..S65R,Brighton Beach,1
B,063250_B..N65R,Bedford Park Blvd,0
B,063700_B..S66R,Brighton Beach,1
B,064050_B..N66R,145 St,0
B,064400_B..S65R,Brighton Beach,1
B,064850_B..N65R,Bedford Park Blvd,0
B,065300_B..S66R,Brighton Beach,1
B,065650_B..N66R,145 St,0
B,066000_B..S65R,Brighton Beach,1
B,066450_B..N65R,Bedford Park Blvd,0
B,066900_B..S66R,Brighton Beach,1
B,067250_B..N66R,145 St,0
B,067600_B..S65R,Brighton Beach,1
B,068050_B..N65R,Bedford Park Blvd,0
B,068500_B..S66R,Brighton Beach,1
B,068850_B..N66R,145 St,0
B,069200_B..S65R,Brighton Beach,1
B,069650_B..N65R,Bedford Park Blvd,0
B,070250_B..S66R,Brighton Beach,1
B,070450_B..N66R,145 St,0
B,070800_B..S65R,Brighton Beach,1
B,071250_B..N65R,Bedford Park Blvd,0
B,071700_B..S66R,Brighton Beach,1
B,072050_B..N66R,145 St,0
B,072400_B..S65R,Brighton Beach,1
B,072850_B..N65R,Bedford Park Blvd,0
B,073300_B..S66R,Brighton Beach,1
B,073650_B..N66R,145 St,0
B,073950_B..S65R,Brighton Beach,1
B,074450_B..N65R,Bedford Park Blvd,0
B,074900_B..S66R,Brighton Beach,1
B,075250_B..N66R,145 St,0
B,075550_B..S65R,Brighton Beach,1
B,076050_B..N65R,Bedford Park Blvd,0
B,076500_B..S66R,Brighton Beach,1
B,076850_B..N66R,145 St,0
B,077150_B..S65R,Brighton Beach,1
B,077650_B..N65R,Bedford Park Blvd,0
B,078100_B..S66R,Brighton Beach,1
B,078450_B..N66R,145 St,0
B,078750_B..S65R,Brighton Beach,1
B,079200_B..N65R,Bedford Park Blvd,0
B,079700_B..S66R,Brighton Beach,1
B,080050_B..N66R,145 St,0
B,080350_B..S65R,Brighton Beach,1
B,080850_B..N65R,Bedford Park Blvd,0
B,081300_B..S66R,Brighton Beach,1
B,081650_B..N66R,145 St,0
B,081950_B..S65R,Brighton Beach,1
B,082450_B..N65R,Bedford Park Blvd,0
B,082900_B..S66R,Brighton Beach,1
B,083200_B..N66R,145 St,0
