route_id,trip_id,trip_headsign,direction_id
C,078850_C..N04R,168 St,0
C,079000_C..S04R,Euclid Av,1
C,079600_C..N04R,168 St,0
C,080600_C..S04R,Euclid Av,1
C,081250_C..N04R,168 St,0
C,081550_C..S04R,Euclid Av,1
C,082050_C..N04R,168 St,0
C,082850_C..N04R,168 St,0
C,083000_C..S04R,Euclid Av,1
C,083600_C..N04R,168 St,0
C,083800_C..S04R,Euclid Av,1
C,084450_C..N04R,168 St,0
C,085250_C..N04R,168 St,0
C,085600_C..S04R,Euclid Av,1
C,086050_C..N04R,168 St,0
C,086650_C..S04R,Euclid Av,1
C,086850_C..N04R,168 St,0
C,087600_C..S04R,Euclid Av,1
C,088450_C..N04R,168 St,0
C,088600_C..S04R,Euclid Av,1
C,089250_C..N04R,168 St,0
